car_name,kms_driven,fuel_type,transmission,ownership,manufacture,engine_cc,Seats,company_name,car_prices_in_rupee
718,33000,1,0,1,2019,2143,5,20,539500
10,25000,4,0,1,2021,1998,5,1,617500
1125,55291,1,1,1,2017,1968,5,0,279500
267,58500,1,0,1,2013,2143,5,20,165000
1141,15000,1,0,1,2018,2967,7,0,725000
499,90000,1,1,1,2014,1461,5,26,65000
1127,64000,1,0,2,2012,1968,5,0,130000
1798,132596,4,1,2,2004,993,5,18,40000
1441,99673,4,1,3,2008,1298,5,18,15400
1055,24374,2,0,1,2021,0,5,28,41800
1547,69828,4,0,3,2011,1598,5,30,39200
198,72820,4,1,2,2016,1197,5,18,59400
278,20785,1,0,1,2019,1950,5,20,372400
1414,31172,4,0,2,2016,1197,5,18,58800
770,24395,4,1,1,2016,1197,5,9,45200
803,11050,4,0,1,2021,1451,5,16,182500
869,123394,1,1,2,2013,2494,7,29,77400
1449,105053,1,1,2,2013,1248,5,18,42100
1884,10283,4,1,1,2021,1197,5,9,84400
786,2443,1,1,1,2022,1956,5,28,219900
682,44000,4,0,2,2019,2694,7,29,310000
1132,68000,1,0,3,2011,2967,5,0,99500
1356,72000,1,0,1,2013,2696,7,17,97500
1819,38000,4,1,1,2011,1086,5,9,22500
1413,65000,4,1,1,2019,1197,5,18,65000
1140,43000,1,0,2,2014,2967,7,0,187500
1826,52000,4,1,2,2014,1086,5,9,42500
1752,117000,1,1,1,2012,2179,7,17,74500
1588,84000,4,1,1,2016,1591,5,9,82500
85,45080,4,1,3,2015,796,5,18,20400
574,39341,4,1,1,2019,1196,5,18,47000
1297,133000,1,1,1,2007,2609,8,17,33000
1810,54112,2,0,1,2014,0,5,17,32100
1892,14824,4,1,1,2020,1197,5,9,82000
388,82500,4,1,1,2017,1497,5,8,92500
1334,17922,4,1,1,2020,1497,5,13,134900
1700,13000,4,0,1,2019,2998,7,1,12300000
1085,85000,1,0,1,2015,2477,6,22,167500
752,67000,4,0,1,2015,1197,5,9,57500
910,35000,4,0,1,2018,1199,5,8,74500
85,53000,4,1,1,2016,796,5,18,34500
794,598,4,1,1,2022,1451,5,16,207500
620,75727,1,1,1,2019,1248,7,18,89200
1329,7000,4,0,1,2020,1353,5,13,189000
1630,62403,1,1,1,2016,1248,5,18,85800
1097,44487,1,1,2,2014,1498,5,30,45300
278,24000,1,0,2,2020,1950,5,20,390000
890,47000,1,0,1,2020,2393,7,29,285000
1819,31212,4,1,1,2008,1086,5,9,19000
1377,17776,4,0,1,2020,1984,5,27,336500
1575,31837,1,1,2,2015,1582,5,9,65800
43,39000,1,0,1,2020,1968,5,0,258000
105,78000,4,1,2,2006,796,5,18,12000
559,31000,4,0,1,2020,1497,5,7,118500
1434,115986,1,1,2,2013,1248,5,18,38800
638,73029,4,1,2,2014,1496,5,29,39200
1583,25000,4,0,2,2013,1591,5,9,63500
118,74809,1,1,1,2013,1498,5,8,24400
1834,33560,4,1,1,2011,1197,5,9,27200
1829,40821,4,0,1,2011,1197,5,9,28600
270,58000,1,0,2,2014,2143,5,20,157500
676,75991,4,1,2,2010,1196,5,7,16300
1451,136432,4,1,2,2008,1298,5,18,17800
105,70229,4,1,4,2008,796,5,18,84778
893,83000,1,0,2,2016,2755,8,29,172500
1279,51915,4,1,1,2008,1086,5,9,11100
1108,63100,4,0,2,2014,1197,5,30,55000
719,54000,1,0,2,2017,2143,5,20,480000
1684,9000,1,0,1,2021,1995,5,1,455000
1277,46833,4,1,1,2012,1086,5,9,32500
1574,78744,1,1,2,2012,1582,5,9,52500
1435,79542,1,1,2,2014,1248,5,18,49000
357,96000,4,0,2,2010,1497,5,8,46000
1347,13000,4,1,1,2021,998,5,13,132500
1435,44521,1,1,1,2010,1248,5,18,38000
751,29927,4,0,2,2017,1197,5,9,54700
284,48019,4,0,1,2017,1997,5,8,197500
755,27311,4,1,2,2017,1197,5,9,67500
1741,14000,1,1,1,2021,2179,7,17,205000
1820,64640,4,1,1,2009,1197,5,9,31500
385,96505,4,1,2,2012,1497,5,8,49900
684,90479,1,0,1,2018,2755,7,29,320000
1550,3500,4,1,1,2022,1197,5,9,96500
1044,42374,4,1,1,2018,1198,5,28,85500
204,45879,1,1,1,2016,1248,5,18,71000
341,120000,1,1,2,2016,1248,5,18,57200
754,89680,4,1,2,2015,1197,5,9,47000
3,99000,1,0,3,2012,1995,5,1,127500
1800,90000,4,1,3,1998,993,5,18,11000
1695,27000,1,0,1,2018,2993,5,1,597500
1374,79776,1,0,1,2015,1968,5,27,146500
963,67000,1,0,1,2011,2982,7,29,540000
1068,108000,1,1,1,2017,1968,5,27,147500
1534,58000,1,1,1,2019,1498,5,30,94500
1063,32067,4,0,1,2018,1798,5,27,227500
888,52187,1,1,2,2017,2393,7,29,195000
21,17100,1,0,1,2019,2993,5,1,587500
797,9562,4,0,1,2021,1451,6,16,194000
806,36388,1,1,1,2019,1956,5,16,181000
274,45000,1,0,2,2011,2143,5,20,97500
428,36149,1,1,1,2019,1956,5,12,177500
1327,20155,4,1,1,2020,1353,5,13,169500
801,51904,4,0,1,2019,1451,5,16,167500
1108,54000,4,0,1,2015,1197,5,30,72500
1327,31727,4,1,2,2019,1353,5,13,156500
1732,73986,1,0,1,2017,2179,7,17,144500
1344,7100,1,1,1,2021,1493,5,13,142500
1347,5397,4,1,1,2021,998,5,13,139500
1687,65000,1,0,1,2018,1995,5,1,495000
1842,90000,1,1,1,2017,1396,5,9,70000
1411,80000,4,1,2,2013,1197,5,18,47500
1108,91000,4,0,2,2015,1197,5,30,70000
29,69000,1,0,2,2010,2993,5,1,237500
694,89000,1,1,2,2014,2982,7,29,175000
1260,95254,1,1,1,2013,2199,7,9,82500
468,51000,4,1,1,2016,1591,5,9,105000
1829,62000,4,0,2,2014,1197,5,9,39500
811,120000,1,1,1,2017,2179,7,28,123500
790,2000,1,0,1,2022,1956,5,28,257500
1101,46000,4,1,1,2017,999,5,30,68500
611,65000,1,1,2,2017,1248,7,18,94500
97,22248,4,1,1,2017,998,5,18,42500
12,40000,1,0,1,2018,1995,5,1,430000
385,73000,4,1,1,2013,1497,5,8,57500
1106,54000,4,0,1,2021,999,5,30,114500
399,90000,4,1,2,2006,1799,5,8,26000
430,15000,4,0,1,2021,1368,5,12,272500
1328,30000,1,0,1,2021,1493,5,13,182000
1713,26000,1,0,1,2016,2179,5,11,279500
1315,155000,1,1,2,2006,2609,7,17,35000
709,29366,4,0,1,2019,1991,5,20,342500
1095,28211,4,1,1,2016,1198,5,30,67500
1325,40000,4,0,1,2019,1353,5,13,167500
12,54000,1,0,1,2015,1995,5,1,245000
1749,82000,1,1,2,2015,2179,7,17,102500
1581,117000,4,1,1,2011,1591,5,9,46500
1302,111000,1,1,2,2015,2179,8,17,112500
1396,108000,1,0,1,2018,1248,5,18,79500
1074,4000,4,1,1,2017,796,5,18,33000
873,290000,1,1,3,2011,2494,7,29,68500
596,35000,1,0,1,2019,3198,7,7,359000
803,13000,4,0,1,2020,1451,5,16,179500
701,60000,4,1,1,2018,1194,5,7,49000
549,90000,1,1,1,2018,1498,5,7,97500
710,16975,1,0,2,2019,2143,5,20,337500
762,11000,4,1,1,2018,1197,5,9,57500
1159,59000,1,1,1,2018,1498,5,27,98500
1656,46000,3,1,2,2008,1061,5,18,22500
104,80000,4,1,3,2004,796,5,18,13500
1882,25000,4,1,1,2019,1197,5,9,75000
1831,54801,4,1,2,2018,1197,5,9,72500
79,75000,4,0,2,2005,2997,5,8,20000
1627,130000,1,1,1,2017,1248,5,18,86500
69,71000,4,1,2,2013,1495,5,9,31000
287,70000,4,0,1,2010,1198,5,8,100000
1566,14115,4,1,1,2019,998,5,9,104500
150,30000,4,1,2,2019,1199,5,8,75000
1690,63170,1,0,1,2017,1995,5,1,399500
447,80000,4,1,2,2006,1794,5,29,29500
279,47253,1,0,1,2018,2143,5,20,329500
1781,56117,1,1,1,2009,2498,7,17,29500
279,14324,1,0,1,2018,2143,5,20,339500
264,27600,4,0,1,2018,1991,5,20,344500
1064,38391,4,0,1,2018,1798,5,27,194900
51,49000,1,0,1,2018,1968,5,0,324500
552,45000,1,1,1,2017,1498,5,7,77500
486,68000,1,0,2,2014,1998,5,3,69500
204,67000,1,1,1,2018,1248,5,18,82500
1831,80000,4,1,1,2018,1197,5,9,77500
